"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
1,7,16,1977,2,"NL","M","32","","Neotoma","albigula","Rodent","Control"
72,8,19,1977,2,"NL","M","31","","Neotoma","albigula","Rodent","Control"
224,9,13,1977,2,"NL","","","","Neotoma","albigula","Rodent","Control"
266,10,16,1977,2,"NL","","","","Neotoma","albigula","Rodent","Control"
349,11,12,1977,2,"NL","","","","Neotoma","albigula","Rodent","Control"
363,11,12,1977,2,"NL","","","","Neotoma","albigula","Rodent","Control"
435,12,10,1977,2,"NL","","","","Neotoma","albigula","Rodent","Control"
506,1,8,1978,2,"NL","","","","Neotoma","albigula","Rodent","Control"
588,2,18,1978,2,"NL","M","","218","Neotoma","albigula","Rodent","Control"
661,3,11,1978,2,"NL","","","","Neotoma","albigula","Rodent","Control"
748,4,8,1978,2,"NL","","","","Neotoma","albigula","Rodent","Control"
845,5,6,1978,2,"NL","M","32","204","Neotoma","albigula","Rodent","Control"
990,6,9,1978,2,"NL","M","","200","Neotoma","albigula","Rodent","Control"
1164,8,5,1978,2,"NL","M","34","199","Neotoma","albigula","Rodent","Control"
1261,9,4,1978,2,"NL","M","32","197","Neotoma","albigula","Rodent","Control"
1374,10,8,1978,2,"NL","","","","Neotoma","albigula","Rodent","Control"
1453,11,5,1978,2,"NL","M","","218","Neotoma","albigula","Rodent","Control"
1756,4,29,1979,2,"NL","M","33","166","Neotoma","albigula","Rodent","Control"
1818,5,30,1979,2,"NL","M","32","184","Neotoma","albigula","Rodent","Control"
1882,7,4,1979,2,"NL","M","32","206","Neotoma","albigula","Rodent","Control"
2133,10,25,1979,2,"NL","F","33","274","Neotoma","albigula","Rodent","Control"
2184,11,17,1979,2,"NL","F","30","186","Neotoma","albigula","Rodent","Control"
2406,1,16,1980,2,"NL","F","33","184","Neotoma","albigula","Rodent","Control"
2728,3,9,1980,2,"NL","F","","","Neotoma","albigula","Rodent","Control"
3000,5,18,1980,2,"NL","F","31","87","Neotoma","albigula","Rodent","Control"
3002,5,18,1980,2,"NL","F","33","174","Neotoma","albigula","Rodent","Control"
4667,7,8,1981,2,"NL","F","30","130","Neotoma","albigula","Rodent","Control"
4859,10,1,1981,2,"NL","M","34","208","Neotoma","albigula","Rodent","Control"
5048,11,23,1981,2,"NL","M","34","192","Neotoma","albigula","Rodent","Control"
5180,1,1,1982,2,"NL","M","","206","Neotoma","albigula","Rodent","Control"
5299,1,25,1982,2,"NL","F","32","165","Neotoma","albigula","Rodent","Control"
5485,2,24,1982,2,"NL","M","34","202","Neotoma","albigula","Rodent","Control"
5558,3,29,1982,2,"NL","M","33","211","Neotoma","albigula","Rodent","Control"
5583,3,29,1982,2,"NL","M","31","120","Neotoma","albigula","Rodent","Control"
5966,5,22,1982,2,"NL","F","32","40","Neotoma","albigula","Rodent","Control"
6020,6,28,1982,2,"NL","M","33","222","Neotoma","albigula","Rodent","Control"
6023,6,28,1982,2,"NL","F","30","100","Neotoma","albigula","Rodent","Control"
6036,6,28,1982,2,"NL","F","33","120","Neotoma","albigula","Rodent","Control"
6167,7,25,1982,2,"NL","M","","219","Neotoma","albigula","Rodent","Control"
6479,8,16,1982,2,"NL","F","31","112","Neotoma","albigula","Rodent","Control"
6500,8,16,1982,2,"NL","F","33","152","Neotoma","albigula","Rodent","Control"
8022,6,18,1983,2,"NL","F","30","126","Neotoma","albigula","Rodent","Control"
8263,8,16,1983,2,"NL","F","32","147","Neotoma","albigula","Rodent","Control"
8387,9,11,1983,2,"NL","F","32","138","Neotoma","albigula","Rodent","Control"
8394,9,11,1983,2,"NL","F","32","161","Neotoma","albigula","Rodent","Control"
8407,9,11,1983,2,"NL","M","33","148","Neotoma","albigula","Rodent","Control"
8514,10,16,1983,2,"NL","F","32","151","Neotoma","albigula","Rodent","Control"
8543,10,16,1983,2,"NL","F","31","175","Neotoma","albigula","Rodent","Control"
8657,11,13,1983,2,"NL","F","32","158","Neotoma","albigula","Rodent","Control"
8675,11,13,1983,2,"NL","F","32","164","Neotoma","albigula","Rodent","Control"
8755,12,9,1983,2,"NL","F","32","150","Neotoma","albigula","Rodent","Control"
9048,4,10,1984,2,"NL","F","32","157","Neotoma","albigula","Rodent","Control"
9132,5,13,1984,2,"NL","M","32","125","Neotoma","albigula","Rodent","Control"
9270,5,28,1984,2,"NL","M","33","125","Neotoma","albigula","Rodent","Control"
9349,7,4,1984,2,"NL","M","35","130","Neotoma","albigula","Rodent","Control"
9512,8,26,1984,2,"NL","F","31","151","Neotoma","albigula","Rodent","Control"
9605,9,30,1984,2,"NL","F","32","173","Neotoma","albigula","Rodent","Control"
9703,10,21,1984,2,"NL","M","30","126","Neotoma","albigula","Rodent","Control"
10606,7,24,1985,2,"NL","F","30","91","Neotoma","albigula","Rodent","Control"
10617,7,24,1985,2,"NL","M","32","186","Neotoma","albigula","Rodent","Control"
10627,7,24,1985,2,"NL","F","32","174","Neotoma","albigula","Rodent","Control"
10720,8,20,1985,2,"NL","F","31","106","Neotoma","albigula","Rodent","Control"
10923,10,13,1985,2,"NL","F","31","136","Neotoma","albigula","Rodent","Control"
10949,10,13,1985,2,"NL","F","33","148","Neotoma","albigula","Rodent","Control"
11215,12,8,1985,2,"NL","F","32","160","Neotoma","albigula","Rodent","Control"
11329,3,9,1986,2,"NL","M","34","240","Neotoma","albigula","Rodent","Control"
11496,5,11,1986,2,"NL","F","31","163","Neotoma","albigula","Rodent","Control"
11498,5,11,1986,2,"NL","F","31","82","Neotoma","albigula","Rodent","Control"
11611,6,5,1986,2,"NL","F","32","110","Neotoma","albigula","Rodent","Control"
11628,6,5,1986,2,"NL","M","34","227","Neotoma","albigula","Rodent","Control"
11709,7,4,1986,2,"NL","F","31","184","Neotoma","albigula","Rodent","Control"
11877,9,7,1986,2,"NL","M","34","202","Neotoma","albigula","Rodent","Control"
11879,9,7,1986,2,"NL","F","32","135","Neotoma","albigula","Rodent","Control"
11887,9,7,1986,2,"NL","M","33","177","Neotoma","albigula","Rodent","Control"
11953,10,5,1986,2,"NL","M","33","221","Neotoma","albigula","Rodent","Control"
12299,2,1,1987,2,"NL","M","32","253","Neotoma","albigula","Rodent","Control"
12458,3,2,1987,2,"NL","M","33","259","Neotoma","albigula","Rodent","Control"
12602,4,6,1987,2,"NL","M","34","260","Neotoma","albigula","Rodent","Control"
12678,4,26,1987,2,"NL","M","30","79","Neotoma","albigula","Rodent","Control"
12708,4,26,1987,2,"NL","F","28","72","Neotoma","albigula","Rodent","Control"
12729,4,26,1987,2,"NL","M","32","270","Neotoma","albigula","Rodent","Control"
12756,5,28,1987,2,"NL","F","30","99","Neotoma","albigula","Rodent","Control"
12871,5,28,1987,2,"NL","M","32","278","Neotoma","albigula","Rodent","Control"
12997,7,1,1987,2,"NL","F","30","136","Neotoma","albigula","Rodent","Control"
13025,7,1,1987,2,"NL","M","33","260","Neotoma","albigula","Rodent","Control"
13114,7,26,1987,2,"NL","M","","269","Neotoma","albigula","Rodent","Control"
13275,8,26,1987,2,"NL","M","","","Neotoma","albigula","Rodent","Control"
13326,8,26,1987,2,"NL","F","32","146","Neotoma","albigula","Rodent","Control"
13434,9,27,1987,2,"NL","M","33","197","Neotoma","albigula","Rodent","Control"
13465,9,27,1987,2,"NL","F","32","167","Neotoma","albigula","Rodent","Control"
13476,9,27,1987,2,"NL","F","33","146","Neotoma","albigula","Rodent","Control"
13615,10,25,1987,2,"NL","M","34","203","Neotoma","albigula","Rodent","Control"
13630,10,25,1987,2,"NL","F","30","176","Neotoma","albigula","Rodent","Control"
13748,11,22,1987,2,"NL","M","34","214","Neotoma","albigula","Rodent","Control"
13977,1,24,1988,2,"NL","F","34","161","Neotoma","albigula","Rodent","Control"
14646,6,12,1988,2,"NL","F","34","148","Neotoma","albigula","Rodent","Control"
14740,7,15,1988,2,"NL","F","","","Neotoma","albigula","Rodent","Control"
14796,8,10,1988,2,"NL","M","34","188","Neotoma","albigula","Rodent","Control"
14804,8,10,1988,2,"NL","M","31","132","Neotoma","albigula","Rodent","Control"
14896,9,12,1988,2,"NL","M","34","161","Neotoma","albigula","Rodent","Control"
14984,10,9,1988,2,"NL","M","35","170","Neotoma","albigula","Rodent","Control"
15302,12,14,1988,2,"NL","M","35","248","Neotoma","albigula","Rodent","Control"
15780,3,13,1989,2,"NL","M","33","242","Neotoma","albigula","Rodent","Control"
16407,7,30,1989,2,"NL","F","33","97","Neotoma","albigula","Rodent","Control"
17230,2,25,1990,2,"NL","M","33","218","Neotoma","albigula","Rodent","Control"
17877,9,25,1990,2,"NL","F","","176","Neotoma","albigula","Rodent","Control"
17941,10,16,1990,2,"NL","F","33","195","Neotoma","albigula","Rodent","Control"
18110,12,15,1990,2,"NL","F","33","193","Neotoma","albigula","Rodent","Control"
18364,2,16,1991,2,"NL","F","33","185","Neotoma","albigula","Rodent","Control"
18486,3,13,1991,2,"NL","F","33","174","Neotoma","albigula","Rodent","Control"
18639,4,21,1991,2,"NL","F","33","126","Neotoma","albigula","Rodent","Control"
18678,5,13,1991,2,"NL","F","31","81","Neotoma","albigula","Rodent","Control"
18680,5,13,1991,2,"NL","F","33","185","Neotoma","albigula","Rodent","Control"
18846,7,12,1991,2,"NL","M","33","154","Neotoma","albigula","Rodent","Control"
18948,8,7,1991,2,"NL","M","32","178","Neotoma","albigula","Rodent","Control"
19032,9,9,1991,2,"NL","M","31","180","Neotoma","albigula","Rodent","Control"
19245,11,13,1991,2,"NL","F","36","165","Neotoma","albigula","Rodent","Control"
20040,5,30,1992,2,"NL","F","36","220","Neotoma","albigula","Rodent","Control"
20089,7,3,1992,2,"NL","F","21","130","Neotoma","albigula","Rodent","Control"
20364,9,26,1992,2,"NL","F","32","114","Neotoma","albigula","Rodent","Control"
20466,10,18,1992,2,"NL","F","33","135","Neotoma","albigula","Rodent","Control"
20992,7,14,1993,2,"NL","M","32","78","Neotoma","albigula","Rodent","Control"
21113,9,16,1993,2,"NL","M","","","Neotoma","albigula","Rodent","Control"
21120,9,16,1993,2,"NL","M","37","138","Neotoma","albigula","Rodent","Control"
21161,10,15,1993,2,"NL","M","32","148","Neotoma","albigula","Rodent","Control"
21232,11,13,1993,2,"NL","M","35","154","Neotoma","albigula","Rodent","Control"
21235,11,13,1993,2,"NL","M","34","160","Neotoma","albigula","Rodent","Control"
21286,12,14,1993,2,"NL","M","32","153","Neotoma","albigula","Rodent","Control"
21507,4,10,1994,2,"NL","M","","180","Neotoma","albigula","Rodent","Control"
21558,5,18,1994,2,"NL","M","35","","Neotoma","albigula","Rodent","Control"
22314,6,7,1995,2,"NL","M","34","","Neotoma","albigula","Rodent","Control"
22728,9,23,1995,2,"NL","F","32","165","Neotoma","albigula","Rodent","Control"
22899,10,28,1995,2,"NL","F","32","171","Neotoma","albigula","Rodent","Control"
23032,12,2,1995,2,"NL","F","33","","Neotoma","albigula","Rodent","Control"
24589,10,12,1996,2,"NL","M","33","127","Neotoma","albigula","Rodent","Control"
24690,11,16,1996,2,"NL","F","33","130","Neotoma","albigula","Rodent","Control"
24703,11,16,1996,2,"NL","M","33","148","Neotoma","albigula","Rodent","Control"
25247,3,15,1997,2,"NL","M","34","147","Neotoma","albigula","Rodent","Control"
25701,5,10,1997,2,"NL","F","32","144","Neotoma","albigula","Rodent","Control"
26028,6,9,1997,2,"NL","M","34","193","Neotoma","albigula","Rodent","Control"
26644,7,29,1997,2,"NL","F","30","178","Neotoma","albigula","Rodent","Control"
26827,9,27,1997,2,"NL","F","33","138","Neotoma","albigula","Rodent","Control"
26857,9,27,1997,2,"NL","F","33","174","Neotoma","albigula","Rodent","Control"
27042,10,25,1997,2,"NL","F","34","186","Neotoma","albigula","Rodent","Control"
27326,12,28,1997,2,"NL","F","33","181","Neotoma","albigula","Rodent","Control"
27734,3,29,1998,2,"NL","F","33","188","Neotoma","albigula","Rodent","Control"
27781,5,2,1998,2,"NL","","","200","Neotoma","albigula","Rodent","Control"
27860,5,28,1998,2,"NL","F","33","190","Neotoma","albigula","Rodent","Control"
27897,5,28,1998,2,"NL","M","21","110","Neotoma","albigula","Rodent","Control"
27919,5,28,1998,2,"NL","F","34","158","Neotoma","albigula","Rodent","Control"
28022,6,27,1998,2,"NL","F","31","182","Neotoma","albigula","Rodent","Control"
28077,6,27,1998,2,"NL","M","30","132","Neotoma","albigula","Rodent","Control"
28328,8,22,1998,2,"NL","F","30","143","Neotoma","albigula","Rodent","Control"
28551,9,20,1998,2,"NL","M","31","178","Neotoma","albigula","Rodent","Control"
28556,9,20,1998,2,"NL","M","30","149","Neotoma","albigula","Rodent","Control"
28662,10,24,1998,2,"NL","M","34","168","Neotoma","albigula","Rodent","Control"
28928,12,22,1998,2,"NL","F","31","165","Neotoma","albigula","Rodent","Control"
29039,1,16,1999,2,"NL","F","34","162","Neotoma","albigula","Rodent","Control"
29310,3,14,1999,2,"NL","F","32","153","Neotoma","albigula","Rodent","Control"
29435,4,17,1999,2,"NL","M","34","220","Neotoma","albigula","Rodent","Control"
29572,5,15,1999,2,"NL","F","33","154","Neotoma","albigula","Rodent","Control"
29823,9,11,1999,2,"NL","F","33","200","Neotoma","albigula","Rodent","Control"
29865,10,9,1999,2,"NL","F","32","194","Neotoma","albigula","Rodent","Control"
29950,11,6,1999,2,"NL","F","33","195","Neotoma","albigula","Rodent","Control"
30066,12,5,1999,2,"NL","F","33","131","Neotoma","albigula","Rodent","Control"
30067,12,5,1999,2,"NL","","","194","Neotoma","albigula","Rodent","Control"
30172,1,8,2000,2,"NL","F","30","137","Neotoma","albigula","Rodent","Control"
30174,1,8,2000,2,"NL","F","33","181","Neotoma","albigula","Rodent","Control"
30175,1,8,2000,2,"NL","M","34","265","Neotoma","albigula","Rodent","Control"
30307,2,5,2000,2,"NL","F","33","185","Neotoma","albigula","Rodent","Control"
30308,2,5,2000,2,"NL","F","31","144","Neotoma","albigula","Rodent","Control"
30309,2,5,2000,2,"NL","","","183","Neotoma","albigula","Rodent","Control"
30443,3,4,2000,2,"NL","M","33","184","Neotoma","albigula","Rodent","Control"
30741,6,3,2000,2,"NL","F","33","158","Neotoma","albigula","Rodent","Control"
31516,11,25,2000,2,"NL","F","29","200","Neotoma","albigula","Rodent","Control"
31517,11,25,2000,2,"NL","M","32","228","Neotoma","albigula","Rodent","Control"
31633,12,22,2000,2,"NL","F","31","173","Neotoma","albigula","Rodent","Control"
31717,1,21,2001,2,"NL","M","33","121","Neotoma","albigula","Rodent","Control"
31721,1,21,2001,2,"NL","F","31","158","Neotoma","albigula","Rodent","Control"
31862,3,24,2001,2,"NL","F","32","252","Neotoma","albigula","Rodent","Control"
31946,4,21,2001,2,"NL","F","33","145","Neotoma","albigula","Rodent","Control"
32045,5,26,2001,2,"NL","M","32","135","Neotoma","albigula","Rodent","Control"
32167,6,25,2001,2,"NL","F","30","173","Neotoma","albigula","Rodent","Control"
32391,8,25,2001,2,"NL","F","33","193","Neotoma","albigula","Rodent","Control"
32817,10,13,2001,2,"NL","F","29","72","Neotoma","albigula","Rodent","Control"
33040,11,17,2001,2,"NL","F","31","119","Neotoma","albigula","Rodent","Control"
33041,11,17,2001,2,"NL","F","33","213","Neotoma","albigula","Rodent","Control"
33237,12,15,2001,2,"NL","F","33","126","Neotoma","albigula","Rodent","Control"
33238,12,15,2001,2,"NL","F","32","198","Neotoma","albigula","Rodent","Control"
33339,1,12,2002,2,"NL","","","","Neotoma","albigula","Rodent","Control"
33415,2,9,2002,2,"NL","M","33","120","Neotoma","albigula","Rodent","Control"
33583,3,13,2002,2,"NL","M","32","136","Neotoma","albigula","Rodent","Control"
33586,3,13,2002,2,"NL","F","32","196","Neotoma","albigula","Rodent","Control"
33837,4,17,2002,2,"NL","F","","190","Neotoma","albigula","Rodent","Control"
33847,4,17,2002,2,"NL","F","30","149","Neotoma","albigula","Rodent","Control"
33966,5,15,2002,2,"NL","F","31","188","Neotoma","albigula","Rodent","Control"
34198,6,15,2002,2,"NL","F","31","139","Neotoma","albigula","Rodent","Control"
34783,10,5,2002,2,"NL","M","36","226","Neotoma","albigula","Rodent","Control"
34991,11,9,2002,2,"NL","M","33","238","Neotoma","albigula","Rodent","Control"
35212,12,7,2002,2,"NL","M","33","248","Neotoma","albigula","Rodent","Control"
35404,12,29,2002,2,"NL","F","30","","Neotoma","albigula","Rodent","Control"
3,7,16,1977,2,"DM","F","37","","Dipodomys","merriami","Rodent","Control"
226,9,13,1977,2,"DM","M","37","51","Dipodomys","merriami","Rodent","Control"
233,9,13,1977,2,"DM","M","25","44","Dipodomys","merriami","Rodent","Control"
245,10,16,1977,2,"DM","M","37","39","Dipodomys","merriami","Rodent","Control"
251,10,16,1977,2,"DM","M","36","49","Dipodomys","merriami","Rodent","Control"
257,10,16,1977,2,"DM","M","37","47","Dipodomys","merriami","Rodent","Control"
259,10,16,1977,2,"DM","M","36","41","Dipodomys","merriami","Rodent","Control"
268,10,16,1977,2,"DM","F","36","55","Dipodomys","merriami","Rodent","Control"
346,11,12,1977,2,"DM","F","37","36","Dipodomys","merriami","Rodent","Control"
350,11,12,1977,2,"DM","M","37","47","Dipodomys","merriami","Rodent","Control"
354,11,12,1977,2,"DM","M","38","44","Dipodomys","merriami","Rodent","Control"
361,11,12,1977,2,"DM","F","36","40","Dipodomys","merriami","Rodent","Control"
422,12,10,1977,2,"DM","F","37","42","Dipodomys","merriami","Rodent","Control"
424,12,10,1977,2,"DM","M","37","52","Dipodomys","merriami","Rodent","Control"
427,12,10,1977,2,"DM","F","37","37","Dipodomys","merriami","Rodent","Control"
438,12,10,1977,2,"DM","M","36","47","Dipodomys","merriami","Rodent","Control"
449,12,10,1977,2,"DM","M","35","43","Dipodomys","merriami","Rodent","Control"
507,1,8,1978,2,"DM","M","35","44","Dipodomys","merriami","Rodent","Control"
511,1,8,1978,2,"DM","M","36","38","Dipodomys","merriami","Rodent","Control"
518,1,8,1978,2,"DM","M","36","38","Dipodomys","merriami","Rodent","Control"
519,1,8,1978,2,"DM","M","38","48","Dipodomys","merriami","Rodent","Control"
521,1,8,1978,2,"DM","M","36","43","Dipodomys","merriami","Rodent","Control"
522,1,8,1978,2,"DM","F","37","35","Dipodomys","merriami","Rodent","Control"
523,1,8,1978,2,"DM","M","36","43","Dipodomys","merriami","Rodent","Control"
527,1,8,1978,2,"DM","F","37","37","Dipodomys","merriami","Rodent","Control"
533,1,8,1978,2,"DM","M","","45","Dipodomys","merriami","Rodent","Control"
593,2,18,1978,2,"DM","M","38","52","Dipodomys","merriami","Rodent","Control"
595,2,18,1978,2,"DM","M","37","51","Dipodomys","merriami","Rodent","Control"
600,2,18,1978,2,"DM","F","37","40","Dipodomys","merriami","Rodent","Control"
601,2,18,1978,2,"DM","M","36","41","Dipodomys","merriami","Rodent","Control"
660,3,11,1978,2,"DM","M","37","53","Dipodomys","merriami","Rodent","Control"
664,3,11,1978,2,"DM","M","35","43","Dipodomys","merriami","Rodent","Control"
733,4,8,1978,2,"DM","M","33","","Dipodomys","merriami","Rodent","Control"
754,4,8,1978,2,"DM","M","37","","Dipodomys","merriami","Rodent","Control"
757,4,8,1978,2,"DM","F","","","Dipodomys","merriami","Rodent","Control"
764,4,8,1978,2,"DM","M","35","","Dipodomys","merriami","Rodent","Control"
838,5,6,1978,2,"DM","M","37","48","Dipodomys","merriami","Rodent","Control"
842,5,6,1978,2,"DM","F","38","41","Dipodomys","merriami","Rodent","Control"
849,5,6,1978,2,"DM","M","36","43","Dipodomys","merriami","Rodent","Control"
914,5,19,1978,2,"DM","F","","41","Dipodomys","merriami","Rodent","Control"
924,5,19,1978,2,"DM","M","37","49","Dipodomys","merriami","Rodent","Control"
930,5,19,1978,2,"DM","M","36","44","Dipodomys","merriami","Rodent","Control"
1018,6,9,1978,2,"DM","M","36","43","Dipodomys","merriami","Rodent","Control"
1061,7,7,1978,2,"DM","F","38","46","Dipodomys","merriami","Rodent","Control"
1062,7,7,1978,2,"DM","F","37","43","Dipodomys","merriami","Rodent","Control"
1159,8,5,1978,2,"DM","F","36","31","Dipodomys","merriami","Rodent","Control"
1183,8,5,1978,2,"DM","F","37","47","Dipodomys","merriami","Rodent","Control"
1269,9,4,1978,2,"DM","F","38","41","Dipodomys","merriami","Rodent","Control"
1272,9,4,1978,2,"DM","F","36","42","Dipodomys","merriami","Rodent","Control"
1277,9,4,1978,2,"DM","F","38","47","Dipodomys","merriami","Rodent","Control"
1370,10,8,1978,2,"DM","F","36","39","Dipodomys","merriami","Rodent","Control"
1382,10,8,1978,2,"DM","F","38","42","Dipodomys","merriami","Rodent","Control"
1461,11,5,1978,2,"DM","F","36","38","Dipodomys","merriami","Rodent","Control"
1469,11,5,1978,2,"DM","F","38","41","Dipodomys","merriami","Rodent","Control"
1519,12,3,1978,2,"DM","M","38","46","Dipodomys","merriami","Rodent","Control"
1529,12,3,1978,2,"DM","M","38","38","Dipodomys","merriami","Rodent","Control"
1534,12,3,1978,2,"DM","F","37","40","Dipodomys","merriami","Rodent","Control"
1535,12,3,1978,2,"DM","F","38","43","Dipodomys","merriami","Rodent","Control"
1539,12,3,1978,2,"DM","M","36","49","Dipodomys","merriami","Rodent","Control"
1581,1,29,1979,2,"DM","F","38","42","Dipodomys","merriami","Rodent","Control"
1611,1,29,1979,2,"DM","F","","43","Dipodomys","merriami","Rodent","Control"
1644,2,25,1979,2,"DM","F","37","44","Dipodomys","merriami","Rodent","Control"
1661,2,25,1979,2,"DM","F","35","44","Dipodomys","merriami","Rodent","Control"
1676,3,31,1979,2,"DM","M","36","54","Dipodomys","merriami","Rodent","Control"
1692,3,31,1979,2,"DM","M","37","45","Dipodomys","merriami","Rodent","Control"
1701,3,31,1979,2,"DM","F","36","46","Dipodomys","merriami","Rodent","Control"
1768,4,29,1979,2,"DM","M","39","43","Dipodomys","merriami","Rodent","Control"
1839,5,30,1979,2,"DM","M","37","50","Dipodomys","merriami","Rodent","Control"
1845,5,30,1979,2,"DM","F","36","53","Dipodomys","merriami","Rodent","Control"
1846,5,30,1979,2,"DM","M","37","45","Dipodomys","merriami","Rodent","Control"
2014,8,23,1979,2,"DM","M","38","49","Dipodomys","merriami","Rodent","Control"
2060,9,23,1979,2,"DM","F","35","46","Dipodomys","merriami","Rodent","Control"
2070,9,23,1979,2,"DM","M","37","51","Dipodomys","merriami","Rodent","Control"
2122,10,25,1979,2,"DM","F","35","35","Dipodomys","merriami","Rodent","Control"
2131,10,25,1979,2,"DM","F","37","47","Dipodomys","merriami","Rodent","Control"
2176,11,17,1979,2,"DM","M","37","50","Dipodomys","merriami","Rodent","Control"
2181,11,17,1979,2,"DM","F","36","49","Dipodomys","merriami","Rodent","Control"
2338,1,16,1980,2,"DM","F","36","46","Dipodomys","merriami","Rodent","Control"
2339,1,16,1980,2,"DM","F","35","37","Dipodomys","merriami","Rodent","Control"
2340,1,16,1980,2,"DM","F","34","42","Dipodomys","merriami","Rodent","Control"
